Week,Python: (Worldwide),Java: (Worldwide),C++: (Worldwide),MATLAB: (Worldwide)
2015-03-01,21,89,20,13
2015-03-08,21,89,20,13
2015-03-15,21,90,20,13
2015-03-22,21,91,20,13
2015-03-29,20,86,19,12
2015-04-05,21,88,19,13
2015-04-12,22,96,20,14
2015-04-19,22,100,20,14
2015-04-26,21,89,18,13
2015-05-03,20,87,19,13
2015-05-10,20,87,19,12
2015-05-17,21,86,19,12
2015-05-24,20,83,18,11
2015-05-31,21,85,18,11
2015-06-07,21,85,18,11
2015-06-14,21,83,17,10
2015-06-21,22,84,17,10
2015-06-28,20,82,16,9
2015-07-05,20,79,16,9
2015-07-12,21,84,16,8
2015-07-19,21,83,15,9
2015-07-26,20,81,16,8
2015-08-02,19,78,16,8
2015-08-09,20,77,16,8
2015-08-16,20,79,16,9
2015-08-23,21,80,16,9
2015-08-30,21,83,18,10
2015-09-06,22,81,19,11
2015-09-13,22,81,19,12
2015-09-20,23,81,19,11
2015-09-27,23,82,20,12
2015-10-04,23,82,21,13
2015-10-11,24,82,22,14
2015-10-18,24,81,21,13
2015-10-25,23,82,21,14
2015-11-01,24,81,21,14
2015-11-08,23,77,20,13
2015-11-15,24,82,21,14
2015-11-22,23,77,19,13
2015-11-29,24,77,20,14
2015-12-06,24,78,20,13
2015-12-13,23,74,18,11
2015-12-20,18,64,15,7
2015-12-27,16,58,12,6
2016-01-03,23,64,16,9
2016-01-10,24,66,17,11
2016-01-17,26,71,18,12
2016-01-24,26,72,18,12
2016-01-31,28,72,19,13
2016-02-07,27,71,19,13
2016-02-14,26,72,19,13
2016-02-21,28,72,20,14
2016-02-28,28,72,20,14
2016-03-06,28,73,20,14
2016-03-13,27,72,20,13
2016-03-20,27,67,18,13
2016-03-27,27,71,19,13
2016-04-03,28,71,20,14
2016-04-10,28,71,20,14
2016-04-17,28,71,20,15
2016-04-24,27,70,19,14
2016-05-01,26,67,17,13
2016-05-08,27,69,18,13
2016-05-15,27,68,18,12
2016-05-22,28,68,18,12
2016-05-29,27,66,17,12
2016-06-05,27,66,17,11
2016-06-12,27,66,16,11
2016-06-19,27,66,16,10
2016-06-26,26,64,15,10
2016-07-03,25,61,14,9
2016-07-10,25,60,14,8
2016-07-17,26,64,15,9
2016-07-24,26,62,15,8
2016-07-31,25,61,15,8
2016-08-07,24,60,15,8
2016-08-14,22,57,13,8
2016-08-21,26,61,16,9
2016-08-28,27,62,16,9
2016-09-04,27,60,17,10
2016-09-11,28,63,18,11
2016-09-18,29,67,19,12
2016-09-25,30,66,19,12
2016-10-02,29,64,20,13
2016-10-09,30,64,19,13
2016-10-16,30,68,21,14
2016-10-23,32,66,20,14
2016-10-30,31,64,20,13
2016-11-06,31,65,20,14
2016-11-13,33,67,21,15
2016-11-20,30,63,19,13
2016-11-27,32,65,20,15
2016-12-04,32,62,20,14
2016-12-11,30,61,18,12
2016-12-18,28,57,16,10
2016-12-25,23,49,13,7
2017-01-01,27,54,15,8
2017-01-08,30,58,17,10
2017-01-15,32,62,18,11
2017-01-22,32,63,18,12
2017-01-29,33,63,18,12
2017-02-05,35,64,19,13
2017-02-12,35,64,19,13
2017-02-19,36,66,20,14
2017-02-26,36,65,20,14
2017-03-05,36,66,20,14
2017-03-12,37,67,19,14
2017-03-19,37,67,20,14
2017-03-26,40,66,20,14
2017-04-02,36,66,20,14
2017-04-09,36,61,19,13
2017-04-16,35,63,19,14
2017-04-23,36,66,19,14
2017-04-30,34,58,17,13
2017-05-07,36,61,18,13
2017-05-14,34,60,17,12
2017-05-21,33,58,16,11
2017-05-28,32,57,16,11
2017-06-04,34,55,16,10
2017-06-11,34,56,15,10
2017-06-18,36,57,15,10
2017-06-25,34,54,14,9
2017-07-02,33,54,14,9
2017-07-09,34,55,15,9
2017-07-16,34,56,15,9
2017-07-23,34,57,15,8
2017-07-30,34,55,14,8
2017-08-06,33,53,14,8
2017-08-13,32,51,14,8
2017-08-20,33,52,14,8
2017-08-27,34,54,15,9
2017-09-03,35,55,16,10
2017-09-10,38,59,18,11
2017-09-17,38,60,18,11
2017-09-24,38,58,18,12
2017-10-01,37,56,18,12
2017-10-08,40,59,20,13
2017-10-15,40,58,19,13
2017-10-22,40,60,19,13
2017-10-29,40,59,19,13
2017-11-05,42,61,20,14
2017-11-12,41,61,20,14
2017-11-19,37,56,18,13
2017-11-26,41,59,19,14
2017-12-03,41,58,19,13
2017-12-10,39,56,18,12
2017-12-17,36,50,15,9
2017-12-24,28,40,12,6
2017-12-31,30,43,12,7
2018-01-07,37,52,15,9
2018-01-14,39,54,16,10
2018-01-21,40,55,16,11
2018-01-28,42,57,17,11
2018-02-04,42,55,18,12
2018-02-11,40,54,17,11
2018-02-18,40,56,17,12
2018-02-25,41,54,17,12
2018-03-04,41,54,17,12
2018-03-11,43,57,18,12
2018-03-18,42,56,18,12
2018-03-25,41,53,16,11
2018-04-01,40,53,16,11
2018-04-08,41,54,17,12
2018-04-15,43,56,18,13
2018-04-22,42,55,17,12
2018-04-29,38,48,15,11
2018-05-06,40,52,15,11
2018-05-13,41,53,16,11
2018-05-20,41,52,15,11
2018-05-27,40,50,15,10
2018-06-03,41,52,15,10
2018-06-10,41,49,14,9
2018-06-17,41,48,13,9
2018-06-24,41,48,13,9
2018-07-01,38,46,13,8
2018-07-08,41,49,14,9
2018-07-15,40,50,14,8
2018-07-22,41,50,14,8
2018-07-29,41,49,13,8
2018-08-05,40,48,13,8
2018-08-12,39,46,13,8
2018-08-19,40,48,14,8
2018-08-26,41,49,14,9
2018-09-02,41,49,15,9
2018-09-09,44,50,16,10
2018-09-16,45,53,17,11
2018-09-23,45,52,17,11
2018-09-30,45,51,17,12
2018-10-07,46,53,18,12
2018-10-14,47,51,18,12
2018-10-21,46,53,18,12
2018-10-28,45,49,17,12
2018-11-04,45,46,16,12
2018-11-11,47,51,18,12
2018-11-18,43,48,16,11
2018-11-25,46,50,17,12
2018-12-02,46,51,17,12
2018-12-09,43,48,16,10
2018-12-16,40,44,14,9
2018-12-23,29,33,10,6
2018-12-30,30,33,10,6
2019-01-06,41,44,14,9
2019-01-13,42,46,14,9
2019-01-20,44,48,15,10
2019-01-27,45,47,15,10
2019-02-03,44,48,15,10
2019-02-10,46,50,15,11
2019-02-17,47,49,16,11
2019-02-24,46,47,16,11
2019-03-03,47,48,16,11
2019-03-10,47,49,16,11
2019-03-17,47,47,16,11
2019-03-24,48,48,16,11
2019-03-31,47,48,16,11
2019-04-07,48,48,16,12
2019-04-14,45,45,15,11
2019-04-21,45,46,15,11
2019-04-28,43,41,13,10
2019-05-05,46,45,14,10
2019-05-12,47,47,15,10
2019-05-19,46,46,14,10
2019-05-26,44,44,14,9
2019-06-02,46,43,13,9
2019-06-09,48,45,13,9
2019-06-16,50,45,14,9
2019-06-23,49,45,13,9
2019-06-30,47,44,13,8
2019-07-07,49,45,13,9
2019-07-14,49,45,13,8
2019-07-21,48,43,12,8
2019-07-28,46,42,12,8
2019-08-04,47,42,12,8
2019-08-11,45,41,12,8
2019-08-18,49,47,14,8
2019-08-25,48,47,14,9
2019-09-01,49,45,15,9
2019-09-08,53,48,16,10
2019-09-15,54,50,17,11
2019-09-22,55,50,17,11
2019-09-29,52,47,16,11
2019-10-06,54,47,17,11
2019-10-13,55,49,18,12
2019-10-20,53,47,17,11
2019-10-27,50,44,16,10
2019-11-03,55,48,17,11
2019-11-10,54,47,17,11
2019-11-17,55,47,17,12
2019-11-24,49,44,16,10
2019-12-01,51,46,16,11
2019-12-08,51,44,15,10
2019-12-15,48,42,14,9
2019-12-22,36,31,10,6
2019-12-29,34,29,9,6
2020-01-05,47,42,13,8
2020-01-12,50,42,14,9
2020-01-19,51,44,14,9
2020-01-26,51,43,15,9
2020-02-02,55,46,15,10
2020-02-09,57,46,16,10
2020-02-16,57,47,16,11
2020-02-23,49,39,14,10
